PLAYER_WYID,FIRSTNAME,LASTNAME,NAVN,ROLECODE3,BIRTHDATE,TEAMNAME,HEIGHT,FOD,CONTRACT,POS,PRIOR
56017,Daniel,Stenderup,Daniel Stenderup,DEF,31.05.1989,Hvidovre IF,186,Højre,,3,A
562500,Magnus,Fredslund,Magnus Fredslund,DEF,26.07.1992,Hvidovre IF,,,30.06.2026,2,A
224185,Ayo Simon,Okosun,Ayo Simon Okosun,DEF,21.07.1993,Hvidovre IF,198,Højre,,6,B
269701,Marvin,Egho,Marvin Egho,FWD,09.05.1994,Hvidovre IF,188,Venstre,,9,A
135115,Morten,Knudsen Brander,Morten Brander,MID,28.04.1995,Hvidovre IF,178,Højre,,6,C
462085,Frederik,Høgh,Frederik Høgh,FWD,05.05.1995,Hvidovre IF,193,Venstre,31.12.2026,9,B
367924,Fredrik,Krogstad,Frederik Krogstad,MID,06.06.1995,Hvidovre IF,181,Højre,30.06.2026,8,A
417657,Nicolai,Clausen,Nicolaj Clausen,DEF,10.06.1995,Hvidovre IF,,Venstre,,5,C
370269,Malte,Kiilerich,Malthe Killerich,DEF,16.10.1995,Hvidovre IF,188,Højre,,4,A
562489,Marco,Brylov,Marco Brylov,GKP,21.11.1995,Hvidovre IF,191,Venstre,,1,B
915831,Mads,Kaalund,Mads Kaalund,MID,16.08.1996,Hvidovre IF,182,Højre,30.06.2026,8,C
443718,Sebastian,Koch,Sebastian Koch,FWD,11.10.1996,Hvidovre IF,186,Højre,,7,A
562692,Andreas,Smed,Andreas Smed,FWD,19.03.1997,Hvidovre IF,182,,,11,C
1169173,Louka,Prip,Louka Prip,MID,29.06.1997,Hvidovre IF,182,Venstre,30.06.2026,7,B
483429,Ahmed,Iljazovski,Ahmed Iljazovski,DEF,31.07.1997,Hvidovre IF,188,,31.12.2026,2,B
435879,Oliver,Kjærgaard,Oliver Kjærgaard,MID,11.07.1998,Hvidovre IF,184,Højre,,2,A
449795,Mehmet,Coskun,Mehmet Cokusun,DEF,06.11.1998,Hvidovre IF,175,Venstre,31.12.2026,5,L
505392,Marius,Elvius,Marius Elvius,MID,01.06.2002,Hvidovre IF,185,Højre,30.06.2028,2,A
579393,Nicolaj,Jungvig,Nicolaj Jungvig,DEF,26.10.2003,Hvidovre IF,,Venstre,,3,B
775167,Carl Alfred,Maslen,Alfred Maslen,GKP,13.03.2004,Hvidovre IF,,Højre,,1,C
620821,Zamir,Aliji,Zamir Alji,MID,08.04.2004,Hvidovre IF,166,Venstre,,10,C
619520,Haki,Bedzeti,Haki Bedzeti,DEF,12.04.2004,Hvidovre IF,186,,30.06.2026,4,A
680719,Anders,Ravn Olsen,Anders Ravn,GKP,02.04.2005,Hvidovre IF,193,Højre,30.06.2027,1,A
844,Marius Holst,Papuga,Marius Holst,MID,13.05.2005,Hvidovre IF,,,,10,B
764636,Alexander,Johansen,Alexander Johansen,FWD,24.09.2005,Hvidovre IF,172,,30.06.2027,9,B
