PLAYER_WYID,SEASONNAME,TEAMNAME,MATCHES,MINUTESTAGGED,GOALS,YELLOWCARD,REDCARDS,PASSES,SUCCESSFULPASSES,PASSESTOFINALTHIRD,SUCCESSFULPASSESTOFINALTHIRD,FORWARDPASSES,SUCCESSFULFORWARDPASSES,TOUCHINBOX,ASSISTS,DUELS,DUELSWON,PROGRESSIVEPASSES,SUCCESSFULPROGRESSIVEPASSES
938618,2024/2025,AGF U17,20,1161,4,3,0,391,296,37,25,103,70,45,1,281,97,60,46
1098855,2024/2025,AaB U15,14,936,0,2,0,274,196,40,25,108,66,2,0,158,62,49,21
847212,2024/2025,Esbjerg U17,23,1650,0,0,0,698,534,62,36,236,148,6,0,390,122,141,68
1103694,2024/2025,IF Lyseng U17,12,386,0,0,1,90,70,8,5,22,15,2,1,81,26,9,7
842144,2024/2025,Silkeborg U17,3,300,0,0,0,160,149,7,2,62,52,0,0,4,3,11,7
1110796,2024/2025,Amager Academy U17,8,196,1,0,0,43,30,5,4,18,14,5,0,48,12,10,8
829488,2024/2025,Holbæk B&I,2,107,0,1,0,14,9,2,1,5,3,2,0,37,8,1,1
524506,2024/2025,Aarhus Fremad,9,403,1,0,0,149,113,11,4,38,24,10,0,94,32,24,15
1073534,2024/2025,AB U17,28,1374,4,1,0,306,235,32,21,65,41,43,0,353,120,44,25
857752,2024/2025,Lyngby U19,1,90,0,0,0,65,60,3,3,26,21,1,0,4,3,7,4
797275,2024/2025,B 93 U19,15,1326,1,2,0,808,704,108,87,287,222,16,1,181,49,120,81
1056458,2024/2025,Farum Boldklub U15,4,180,1,0,0,44,36,3,1,9,5,7,0,39,13,4,2
822357,2024/2025,HIK U19,21,1950,0,2,0,722,601,46,16,325,218,0,0,28,25,153,78
1021645,2024/2025,AGF U17,9,584,3,0,0,193,136,23,10,66,45,32,1,110,47,37,22
1140853,2024/2025,Kolding IF U17,17,726,2,0,0,210,169,17,12,74,53,21,1,161,37,30,21
744851,2024/2025,Frem,15,1343,0,0,0,382,347,34,20,185,153,0,0,14,10,77,65
1179373,2024/2025,Helsingør,1,90,0,0,0,54,49,5,3,22,17,1,0,8,3,6,5
630982,2024/2025,Randers U19,24,1793,1,1,0,1067,913,176,117,442,321,10,0,174,62,227,159
797269,2024/2025,SfB-Oure FA U17,13,1230,0,0,0,543,454,34,16,273,197,0,0,19,15,108,59
681180,2024/2025,Nykøbing U19,14,877,1,1,0,204,142,28,16,69,43,7,0,238,62,38,21
1028173,2024/2025,IF Lyseng U17,21,1396,11,5,0,331,262,45,32,103,67,44,5,386,146,49,33
769074,2024/2025,Midtjylland U17,1,5,0,0,0,2,2,0,0,0,0,0,0,2,1,0,0
1086701,2024/2025,Vejle U17,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1100594,2024/2025,Roskilde U17,13,627,0,0,0,425,367,27,20,146,113,1,0,87,29,61,34
1172135,2024/2025,Næstved U19,2,23,1,0,0,11,10,0,0,2,2,3,0,10,4,0,0
1182665,2024/2025,Brøndby IF U15,1,48,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0
