EVENT_WYID,PLAYER_WYID,LOCATIONX,LOCATIONY,MINUTE,SECOND,VIDEOTIMESTAMP,MATCHPERIOD,MATCH_WYID,SHOTBODYPART,SHOTISGOAL,SHOTXG,MATCHLABEL,DATE,VENUE,SIDE,SCORE,TEAM_WYID
158304714,449733,90,66,5,42,404.754473,1H,2475742,right_foot,false,0.01169,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
1,449684,77,75,7,9,491.013499,1H,2475742,left_foot,false,0.08792,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
158304794,496094,93,68,11,43,765.365516,1H,2475742,right_foot,false,0.01176,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
2,449689,74,30,12,46,828.920576,1H,2475742,right_foot,false,0.03722,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
158304911,449684,69,65,19,27,1229.266173,1H,2475742,right_foot,false,0.03622,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
158305086,449655,90,47,32,41,2023.961401,1H,2475742,head_or_other,false,0.1029,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
158305159,496094,53,0,39,50,2452.103543,1H,2475742,right_foot,false,0.07341,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
158305399,449733,90,52,56,24,3538.738899,2H,2475742,left_foot,false,0.1295,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
3,449686,65,58,59,29,3723.510388,2H,2475742,right_foot,false,0.05193,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
158305562,449733,91,54,74,36,4630.431054,2H,2475742,right_foot,true,0.2696,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
158305673,449733,85,43,86,28,5342.595616,2H,2475742,right_foot,false,0.002401,"Thisted U19 - Næsby U19, 1 - 1",2017-05-06 02:00:00.000,,away,1,38331
955126206,449295,91,32,2,36,157.091556,1H,2760205,left_foot,false,0.06892,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
955126212,521250,77,22,31,43,1904.435736,1H,2760205,right_foot,false,0.02298,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
955126213,521250,92,50,32,44,1965.452792,1H,2760205,head_or_other,false,0.1742,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
955126215,449295,86,45,37,27,2248.863316,1H,2760205,right_foot,false,0.04201,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
955126217,496204,92,56,39,52,2393.094087,1H,2760205,right_foot,false,0.4268,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
955126221,521250,94,35,46,35,2917.246957,2H,2760205,left_foot,false,0.2351,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
955126224,592020,82,70,50,0,3122.830827,2H,2760205,right_foot,false,0.008154,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
955126222,449377,75,64,66,32,4114.269113,2H,2760205,right_foot,false,0.0041,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
955126223,449377,76,68,74,11,4573.926087,2H,2760205,right_foot,false,0.0294,"Næsby U19 - AB U19, 0 - 4",2018-11-03 12:00:00.000,,home,0,38331
1530800419,624728,84,60,30,26,1827.168977,1H,5364789,right_foot,false,0.07661,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530800422,661131,86,70,30,49,1850.915133,1H,5364789,left_foot,false,0.04759,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530800506,817108,76,30,39,33,2374.55992,1H,5364789,right_foot,false,0.03798,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530800607,661131,77,72,45,25,2726.609627,1H,5364789,right_foot,false,0.0004326,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530800746,817108,91,38,54,49,3345.978669,2H,5364789,left_foot,false,0.2079,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530800851,623254,77,48,62,26,3802.282503,2H,5364789,right_foot,false,0.01932,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530801184,661131,91,54,80,13,4869.795506,2H,5364789,right_foot,true,0.4093,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530801347,846773,90,74,88,0,5336.005465,2H,5364789,right_foot,false,0.05503,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530801357,678968,89,42,88,42,5378.329809,2H,5364789,head_or_other,false,0.01633,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530801469,817108,90,50,120,39,5706.462955,P,5364789,right_foot,false,,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530801475,678942,90,50,121,50,5777.068202,P,5364789,right_foot,true,,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
1530801478,620953,90,50,122,56,5843.296598,P,5364789,right_foot,false,,"Helsingør U19 - Næsby U19, 1 - 1 (P)",2022-11-12 13:00:00.000,,away,1,38331
955098158,450089,93,33,2,21,142.532954,1H,2760316,right_foot,false,0.03567,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955100085,623767,84,28,10,51,652.611799,1H,2760316,right_foot,false,0.001117,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955098257,521250,80,46,11,18,679.203954,1H,2760316,left_foot,false,0.09202,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955098424,450089,78,25,27,34,1655.547345,1H,2760316,right_foot,false,0.03141,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955098540,449377,79,61,37,10,2231.225504,1H,2760316,right_foot,false,0.05206,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955098835,449280,89,42,66,24,4070.282315,2H,2760316,head_or_other,false,0.1083,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955100127,623767,84,55,67,28,4134.266366,2H,2760316,left_foot,false,0.1307,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955098913,450089,91,30,76,1,4647.282265,2H,2760316,right_foot,false,0.08202,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955099036,450089,84,34,87,47,5353.921745,2H,2760316,right_foot,false,0.08747,"Næsby U19 - Viborg U19, 0 - 1",2019-05-04 12:00:00.000,,home,0,38331
955096994,450089,94,34,23,37,1418.687772,1H,2760357,head_or_other,false,0.04543,"Hvidovre U19 - Næsby U19, 3 - 1",2019-05-11 15:15:00.000,,away,1,38331
955096626,449310,78,38,28,9,1690.25559,1H,2760357,right_foot,true,0.1328,"Hvidovre U19 - Næsby U19, 3 - 1",2019-05-11 15:15:00.000,,away,1,38331
955096996,450089,88,65,30,3,1804.868918,1H,2760357,right_foot,false,0.05129,"Hvidovre U19 - Næsby U19, 3 - 1",2019-05-11 15:15:00.000,,away,1,38331
955096998,579448,91,34,34,13,2054.954178,1H,2760357,head_or_other,false,0.01082,"Hvidovre U19 - Næsby U19, 3 - 1",2019-05-11 15:15:00.000,,away,1,38331
955097007,623767,77,28,42,14,2535.110695,1H,2760357,left_foot,false,0.008136,"Hvidovre U19 - Næsby U19, 3 - 1",2019-05-11 15:15:00.000,,away,1,38331
955097006,449366,78,32,79,55,4826.977191,2H,2760357,right_foot,false,0.04939,"Hvidovre U19 - Næsby U19, 3 - 1",2019-05-11 15:15:00.000,,away,1,38331
955096690,450080,75,61,83,9,5020.832862,2H,2760357,right_foot,false,0.0009778,"Hvidovre U19 - Næsby U19, 3 - 1",2019-05-11 15:15:00.000,,away,1,38331
1451111282,625664,91,29,0,32,33.755662,1H,5364776,right_foot,false,0.04645,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451111372,661131,90,50,5,8,309.421528,1H,5364776,right_foot,false,0.76,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451111468,624758,74,54,8,17,498.025838,1H,5364776,left_foot,false,0.05316,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451111554,661131,81,62,10,27,628.611199,1H,5364776,right_foot,true,0.07125,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451111624,661131,87,26,12,42,763.056733,1H,5364776,left_foot,false,0.01868,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451111641,625664,86,36,13,14,795.180884,1H,5364776,right_foot,false,0.1073,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451111658,846772,96,48,13,48,829.166603,1H,5364776,head_or_other,true,0.2549,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451112137,678944,72,66,29,20,1761.035365,1H,5364776,left_foot,false,0.02759,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451112340,620953,86,55,38,20,2301.661762,1H,5364776,left_foot,true,0.1323,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451112428,625664,78,26,45,21,2833.392995,2H,5364776,right_foot,false,0.01941,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451112885,625664,85,36,64,29,3981.286188,2H,5364776,right_foot,false,0.07488,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451113048,625664,76,28,71,6,4378.500161,2H,5364776,right_foot,false,0.01744,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451113184,661131,85,58,76,3,4675.197644,2H,5364776,head_or_other,false,0.04938,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451113199,678968,78,40,76,33,4705.673309,2H,5364776,right_foot,false,0.01241,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451113331,625664,74,33,81,13,4985.787993,2H,5364776,right_foot,false,0.03983,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1451113384,661131,70,58,87,29,5361.260501,2H,5364776,right_foot,false,0.008601,"Amager Academy U19 - Næsby U19, 0 - 3",2022-10-29 12:00:00.000,,away,3,38331
1609742924,620962,91,49,2,12,133.260828,1H,5364843,right_foot,true,0.3039,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609743127,620953,86,56,13,20,801.222306,1H,5364843,right_foot,false,0.07568,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609743414,624728,91,45,25,53,1554.164934,1H,5364843,head_or_other,false,0.1902,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609743637,620953,81,43,33,58,2039.983207,1H,5364843,left_foot,false,0.04489,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609743803,817108,88,61,39,40,2381.142362,1H,5364843,head_or_other,false,0.001504,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609744261,623254,78,58,61,18,3680.007549,2H,5364843,right_foot,false,0.07036,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609744376,623254,87,76,66,45,4007.139562,2H,5364843,right_foot,false,0.0153,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609744400,766651,76,90,67,12,4034.474666,2H,5364843,right_foot,true,0.004839,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609744431,620953,88,51,68,56,4138.978722,2H,5364843,right_foot,false,0.1216,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1609744447,620953,88,50,69,59,4201.632253,2H,5364843,left_foot,false,0.1188,"Næsby U19 - Hvidovre U19, 2 - 3",2023-04-15 12:00:00.000,,home,2,38331
1915296015,514812,80,68,4,43,284.291602,1H,5136739,right_foot,false,0.0263,"Næsby U19 - B 93 U19, 0 - 1",2020-08-22 12:00:00.000,,home,0,38331
1915296016,522605,96,33,15,3,904.785289,1H,5136739,left_foot,false,0.05884,"Næsby U19 - B 93 U19, 0 - 1",2020-08-22 12:00:00.000,,home,0,38331
1915296017,579787,63,80,16,2,963.209066,1H,5136739,right_foot,false,0.0278,"Næsby U19 - B 93 U19, 0 - 1",2020-08-22 12:00:00.000,,home,0,38331
1915296018,578588,77,63,21,52,1313.516391,1H,5136739,left_foot,false,0.012,"Næsby U19 - B 93 U19, 0 - 1",2020-08-22 12:00:00.000,,home,0,38331
1915296019,578588,86,40,29,31,1772.915207,1H,5136739,right_foot,false,0.06255,"Næsby U19 - B 93 U19, 0 - 1",2020-08-22 12:00:00.000,,home,0,38331
1915296020,514812,71,48,37,9,2230.33604,1H,5136739,right_foot,false,0.006719,"Næsby U19 - B 93 U19, 0 - 1",2020-08-22 12:00:00.000,,home,0,38331
1915296022,522618,87,44,42,45,2566.613821,1H,5136739,right_foot,false,0.06382,"Næsby U19 - B 93 U19, 0 - 1",2020-08-22 12:00:00.000,,home,0,38331
