PLAYER_OPTAUUID,PLAYER_WYID,FIRSTNAME,LASTNAME,NAVN,ROLECODE3,BIRTHDATE,TEAMNAME,HEIGHT,FOD,CONTRACT,POS,PRIOR
a30gduuv9d1s4pkthgu2jhyol,56017,Daniel,Stenderup,D. Stenderup,DEF,31.05.1989,Hvidovre IF,186,Højre,30.06.2027,3,A
630daj1ef34rczbhng0eoncvd,370269,Malte,Kiilerich,M. Kiilerich,DEF,16.10.1995,Hvidovre IF,188,Højre,30.06.2026,4,A
bfvdr7ckiersz26ya2kq9f1g4,483429,Ahmed,Iljazovski,A. Iljazovski,DEF,31.07.1997,Hvidovre IF,188,,31.12.2026,2,B
6c2isptqoy4cq5c8rlr9s1roq,505392,Marius,Elvius,M. Elvius,MID,01.06.2002,Hvidovre IF,185,Højre,30.06.2028,2,A
9tt9eo9bsff7dp7aqjal1obo4,462085,Frederik,Høgh,F. Høgh,FWD,05.05.1995,Hvidovre IF,193,Venstre,31.12.2026,9,B
45dqseup0cmujyl4nprr29y0a,562500,Magnus,Fredslund,M. Fredslund,DEF,26.07.1992,Hvidovre IF,,,30.06.2026,2,A
a7eramyy1bd8msxmg84ctc8ut,224185,Ayo Simon,Okosun,A. Okosun,DEF,21.07.1993,Hvidovre IF,198,Højre,30.12.2027,6,B
4m9sp9mxlsjk6fv7v218yqfv9,269701,Marvin,Egho,M. Egho,FWD,09.05.1994,Hvidovre IF,188,Venstre,30.06.2027,9,A
1basznqpux0hkrrd06eaxodsl,135115,Morten Brander,Knudsen,M. Knudsen,MID,28.04.1995,Hvidovre IF,178,Højre,30.06.2026,6,C
dm6xpphbyyooqriwaambi7njd,367924,Fredrik,Krogstad,F. Krogstad,MID,06.06.1995,Hvidovre IF,181,Højre,30.06.2026,8,A
6dzg820946z4848whaa6ny2nd,417657,Nicolaj,Clausen,N. Clausen,DEF,10.06.1995,Hvidovre IF,,Venstre,30.06.2026,5,C
8r9iqig43yjty7l1oq6yg73mc,562489,Marco,Brylov,M. Brylov,GKP,21.11.1995,Hvidovre IF,191,Venstre,30.06.2027,1,B
6uwvbagahvoavs630k8uksxjp,915831,Mads,Kaalund,M. Kaalund,MID,16.08.1996,Hvidovre IF,182,Højre,30.06.2026,8,C
8viazilbghyogmhd7w3lg2six,443718,Sebastian,Koch,S. Koch,FWD,11.10.1996,Hvidovre IF,186,Højre,31.12.2026,7,A
dncrhma6gwcn6pxiu7hfc6qz8,562692,Andreas,Smed,A. Smed,FWD,19.03.1997,Hvidovre IF,182,,30.06.2026,11,C
9dnceiwcpsatrdrj2m1uz6pnu,1169173,Louka,Prip,L. Prip,MID,29.06.1997,Hvidovre IF,182,Venstre,30.06.2026,7,B
cl4xl80n4gew1ox03r3ooshrd,435879,Oliver,Kjærgaard,O. Kjærgaard,MID,11.07.1998,Hvidovre IF,184,Højre,30.06.2027,2,A
3pk6hii2s8tbv2zux8mvbapec,579393,Nicolaj,Jungvig,N. Jungvig,DEF,26.10.2003,Hvidovre IF,,Venstre,31.12.2027,3,B
ajgld24isoem1ycoysyxxp1w,620821,Zamir,Aliji,Z. Aliji,MID,08.04.2004,Hvidovre IF,166,Venstre,31.12.2027,10,C
4h35dzyugo35y8h99m3cx0wlw,619520,Haki,Bedzeti,H. Bedzeti,DEF,12.04.2004,Hvidovre IF,186,,30.06.2026,4,A
4qz1pnlx3d0m5wkhpocl0euj8,680719,Anders,Ravn,A. Ravn,GKP,02.04.2005,Hvidovre IF,193,Højre,30.06.2027,1,A
dwpns7gcg4s1c35df5td9ow7o,844,Marius Holst,Papuga,M. Holst Papuga,MID,13.05.2005,Hvidovre IF,,,31.12.2026,10,B
7ymn0ytcqi6l43nqraxt9s1zo,748624,Alexander,Johansen,A. Johansen,FWD,24.09.2005,Hvidovre IF,172,,30.06.2027,9,B
907vtkod58b7986k7u1619gr8,,,,E. Aby,,,,Hvidovre IF,,,,
8j4dopnj90j99t46el27ettjp,,,,F. Holst,,,,Hvidovre IF,,,,
1cumsropo1r0msfzxxteml1w,,,,J. Adjei-Broni,,,,Hvidovre IF,,,,
2cup1vjw8n43kbzzxfflnmplg,,,,J. Singh,,,,Hvidovre IF,,,,
db671oj1jx2uknf12t8b3s7x0,,,,M. Coşkun,,,,Hvidovre IF,,,,
615e0bjcd0tyge047sy43y5sl,,,,M. Spelmann,,,,Hvidovre IF,,,,
2tkfx22fa5zu9lodx1do4t8us,,,,R. Blæsild,,,,Hvidovre IF,,,,
