PLAYER_WYID,FIRSTNAME,LASTNAME,ROLECODE3,BIRTHDATE,SEASONNAME,SEASON_WYID,COMPETITIONNAME,COMPETITION_WYID,SEASON_WYID,PLAYER_WYID,MATCHES,MATCHESINSTART,MATCHESSUBSTITUTED,MATCHESCOMINGOFF,MINUTESONFIELD,MINUTESTAGGED,GOALS,ASSISTS,SHOTS,HEADSHOTS,YELLOWCARDS,REDCARDS,DIRECTREDCARDS,PENALTIES,LINKUPPLAYS,DUELS,DUELSWON,DEFENSIVEDUELS,DEFENSIVEDUELSWON,OFFENSIVEDUELS,OFFENSIVEDUELSWON,AERIALDUELS,AERIALDUELSWON,FOULS,PASSES,SUCCESSFULPASSES,SMARTPASSES,SUCCESSFULSMARTPASSES,PASSESTOFINALTHIRD,SUCCESSFULPASSESTOFINALTHIRD,CROSSES,SUCCESSFULCROSSES,FORWARDPASSES,SUCCESSFULFORWARDPASSES,BACKPASSES,SUCCESSFULBACKPASSES,THROUGHPASSES,SUCCESSFULTHROUGHPASSES,KEYPASSES,SUCCESSFULKEYPASSES,VERTICALPASSES,SUCCESSFULVERTICALPASSES,LONGPASSES,SUCCESSFULLONGPASSES,DRIBBLES,SUCCESSFULDRIBBLES,INTERCEPTIONS,DEFENSIVEACTIONS,SUCCESSFULDEFENSIVEACTION,ATTACKINGACTIONS,SUCCESSFULATTACKINGACTIONS,FREEKICKS,FREEKICKSONTARGET,DIRECTFREEKICKS,DIRECTFREEKICKSONTARGET,CORNERS,SUCCESSFULPENALTIES,SUCCESSFULLINKUPPLAYS,ACCELERATIONS,PRESSINGDUELS,PRESSINGDUELSWON,LOOSEBALLDUELS,LOOSEBALLDUELSWON,MISSEDBALLS,SHOTASSISTS,SHOTONTARGETASSISTS,RECOVERIES,OPPONENTHALFRECOVERIES,DANGEROUSOPPONENTHALFRECOVERIES,LOSSES,OWNHALFLOSSES,DANGEROUSOWNHALFLOSSES,XGSHOT,XGASSIST,XGSAVE,RECEIVEDPASS,TOUCHINBOX,PROGRESSIVERUN,OFFSIDES,CLEARANCES,SECONDASSISTS,THIRDASSISTS,SHOTSBLOCKED,FOULSSUFFERED,PROGRESSIVEPASSES,COUNTERPRESSINGRECOVERIES,SLIDINGTACKLES,GOALKICKS,DRIBBLESAGAINST,DRIBBLESAGAINSTWON,GOALKICKSSHORT,GOALKICKSLONG,SHOTSONTARGET,SUCCESSFULPROGRESSIVEPASSES,SUCCESSFULSLIDINGTACKLES,SUCCESSFULGOALKICKS,FIELDAERIALDUELS,FIELDAERIALDUELSWON,GKCLEANSHEETS,GKCONCEDEDGOALS,GKSHOTSAGAINST,GKEXITS,GKSUCCESSFULEXITS,GKAERIALDUELS,GKAERIALDUELSWON,GKSAVES,NEWDUELSWON,NEWDEFENSIVEDUELSWON,NEWOFFENSIVEDUELSWON,NEWSUCCESSFULDRIBBLES,LATERALPASSES,SUCCESSFULLATERALPASSES
422352,Nemanja,Nedić,DEF,1995-04-06,2025/2026,191620,1st Division,328,191620,422352,12,9,3,3,803,803,2,0,9,3,2,0,0,0,0,106,54,39,10,14,7,39,29,4,489,438,0,0,42,31,1,0,205,178,32,28,2,0,1,1,211,196,34,20,4,4,47,90,78,14,7,0,0,0,0,0,0,0,0,1,0,14,8,8,2,1,97,16,3,70,44,9,1.38,0.27,0,371,11,7,0,26,0,1,7,2,74,32,4,17,14,6,17,0,4,49,2,17,39,29,0,0,0,0,0,0,0,0,69,27,5,3,211,196
660853,Nóel,Atli Arnórsson,MID,2006-09-30,2025/2026,191620,1st Division,328,191620,660853,16,10,3,6,1052,1052,1,0,10,2,1,1,1,0,0,189,77,79,15,40,23,35,19,15,689,592,0,0,68,46,16,6,234,172,99,96,3,1,1,1,261,245,59,23,8,6,54,134,108,34,16,0,0,0,0,0,0,0,1,6,0,35,20,1,5,1,116,24,5,134,62,11,1.28,0.54,0,550,12,17,1,22,0,0,6,9,122,50,1,10,15,2,10,0,5,83,1,10,35,19,0,0,0,0,0,0,0,0,112,53,20,5,261,245
544672,Sander,Eng Strand,DEF,2001-05-06,2025/2026,191620,1st Division,328,191620,544672,16,16,3,0,1511,1511,0,1,4,0,0,0,0,0,0,239,106,81,13,97,64,28,13,4,632,489,1,0,78,42,52,22,235,146,125,121,6,1,7,7,188,157,88,32,41,34,65,160,135,98,48,1,1,0,0,3,0,0,3,1,0,33,16,7,5,7,136,52,5,171,58,11,0.24,0.69,0,448,21,47,1,25,1,0,5,33,125,49,14,0,36,17,0,0,0,88,9,0,28,13,0,0,0,0,0,0,0,0,138,56,53,26,188,157
450069,Albert,Nørager,DEF,1999-10-29,2025/2026,191620,1st Division,328,191620,450069,16,16,3,0,1489,1489,1,3,11,1,2,0,0,1,0,191,82,68,22,47,21,54,26,15,887,736,2,1,161,106,48,20,403,298,141,137,15,2,12,12,225,197,116,60,11,9,49,117,92,72,29,3,0,0,0,12,1,0,3,3,0,22,13,2,19,12,113,30,3,185,57,6,1.08,2.53,0,677,16,38,0,38,1,1,1,4,179,45,0,1,22,10,1,0,1,143,0,1,54,26,0,0,0,0,0,0,0,0,100,43,18,7,225,197
621798,Frederik,Dietz,DEF,2003-10-08,2025/2026,191620,1st Division,328,191620,621798,17,17,0,0,1647,1647,0,1,10,4,5,0,0,0,0,256,117,108,32,29,16,72,45,18,1266,1089,2,1,182,127,15,9,534,405,69,64,10,2,6,4,537,504,159,80,6,4,107,220,186,33,17,1,1,1,1,0,0,0,1,4,0,47,24,13,7,6,213,40,6,231,108,18,1.18,1.38,0,930,20,19,1,43,0,0,13,11,264,69,5,15,37,17,15,0,3,196,2,15,72,45,0,0,0,0,0,0,0,0,157,74,14,4,537,504
639557,Berkant,Bayrak,GKP,2005-01-28,2025/2026,191620,1st Division,328,191620,639557,10,10,0,0,971,971,0,0,0,0,0,0,0,0,0,11,6,4,0,1,1,5,4,0,256,218,0,0,27,12,0,0,133,98,0,0,7,2,0,0,117,114,86,51,0,0,14,18,17,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,45,0,0,57,11,1,0,0,17.54,182,0,0,0,3,0,0,0,1,63,5,0,98,4,3,7,91,0,43,0,74,0,0,2,19,57,14,0,5,4,38,9,3,1,0,117,114
338129,Adrian,Rúnason Justinussen,FWD,1998-07-21,2025/2026,191620,1st Division,328,191620,338129,18,18,8,0,1585,1585,10,2,55,6,2,0,0,0,45,325,109,63,9,118,48,90,32,23,480,391,2,2,47,32,7,1,96,64,150,141,2,2,9,9,130,104,20,11,19,18,35,100,69,83,37,21,8,20,7,8,0,37,1,14,0,54,20,14,17,9,53,35,2,202,52,3,5.07,1.22,0,355,49,9,8,11,1,0,0,17,49,27,2,0,7,4,0,0,26,31,0,0,90,32,0,0,0,0,0,0,0,0,121,32,37,8,130,104
625199,Emil Borella,Jensen,MID,2005-02-07,2025/2026,191620,1st Division,328,191620,625199,1,1,0,0,97,97,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,14,9,0,0,4,1,0,0,10,5,0,0,1,1,0,0,4,4,9,4,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,1,0,0,0,0.68,7,0,0,0,1,0,0,0,0,3,0,0,9,0,0,4,5,0,2,0,9,0,0,1,0,5,2,0,0,0,5,0,0,0,0,4,4
478750,Gabriël,Çulhacı,DEF,1999-12-30,2025/2026,191620,1st Division,328,191620,478750,5,4,4,1,301,301,0,1,4,0,1,0,0,0,15,64,27,12,1,32,17,9,3,2,91,69,1,0,5,4,17,7,13,7,28,25,2,1,4,4,29,20,3,3,20,15,9,21,17,42,19,0,0,0,0,0,0,11,0,15,0,11,6,1,5,4,17,11,2,38,10,3,0.21,0.76,0,58,15,8,0,2,1,0,1,2,13,13,0,0,1,1,0,0,2,11,0,0,9,3,0,0,0,0,0,0,0,0,30,8,13,10,29,20
361142,Sebastian,Pingel,FWD,1993-05-11,2025/2026,191620,1st Division,328,191620,361142,15,8,5,7,865,865,6,1,28,10,1,0,0,0,15,204,76,23,6,58,20,94,39,9,197,134,0,0,24,11,7,0,37,17,62,51,0,0,1,1,53,32,10,3,12,10,13,36,28,47,22,0,0,0,0,0,0,9,1,17,0,29,11,11,3,1,24,16,1,150,26,3,4.43,0.27,0,145,44,11,4,9,0,0,1,6,16,15,0,0,5,2,0,0,15,7,0,0,94,39,0,0,0,0,0,0,0,0,83,15,18,7,53,32
