PLAYER_WYID,SEASONNAME,TEAMNAME,MATCHES,MINUTESTAGGED,GOALS,YELLOWCARD,REDCARDS,PASSES,SUCCESSFULPASSES,PASSESTOFINALTHIRD,SUCCESSFULPASSESTOFINALTHIRD,FORWARDPASSES,SUCCESSFULFORWARDPASSES,TOUCHINBOX,ASSISTS,DUELS,DUELSWON,PROGRESSIVEPASSES,SUCCESSFULPROGRESSIVEPASSES
1194388,2025/2026,FC Nordsjælland U15,8,397,0,0,0,127,90,6,5,38,27,18,1,122,39,16,12
1135915,2025/2026,Roskilde U17,12,948,1,3,0,339,248,62,37,141,82,5,0,184,56,75,46
1099461,2025/2026,Kolding IF U17,9,314,2,0,0,110,82,14,7,38,20,6,0,60,17,24,12
1099946,2025/2026,HB Køge U17,10,960,0,0,0,464,383,34,13,243,171,0,0,9,7,91,48
765120,2025/2026,AGF U19,1,33,0,0,0,4,3,0,0,1,1,3,0,12,5,1,1
436471,2025/2026,Odder,1,4,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0
1147540,2025/2026,Lyngby U15,11,978,2,0,0,280,187,36,22,92,54,24,3,100,34,47,21
818717,2025/2026,OB U19,11,1040,8,2,0,138,106,5,5,21,13,48,3,312,98,14,7
769159,2025/2026,HB Køge U17,14,1129,4,2,0,436,363,41,34,136,97,37,2,192,83,61,43
1241766,2025/2026,Amager Academy U17,2,180,4,0,0,57,38,7,5,29,22,7,0,30,10,17,13
1122002,2025/2026,OB U15,10,713,5,0,0,105,70,6,4,25,14,21,2,86,27,13,8
766612,2025/2026,Esbjerg U19,13,754,1,0,0,210,162,19,12,42,24,17,1,120,36,24,16
1172915,2025/2026,Horsens U19,9,678,2,1,1,235,192,32,20,60,38,17,0,178,61,32,21
1190920,2025/2026,Randers U15,10,930,0,3,0,463,341,37,3,237,130,0,0,7,3,105,31
679217,2025/2026,Hobro IK U19,3,300,0,0,0,99,89,3,3,40,32,0,0,1,1,20,13
